 MONTH =    1
 0.162347E+04 0.120522E+04 0.669345E+03 0.152939E+03 0.353428E+02 0.840028E+01
 0.533149E+01 0.499253E+01 0.453765E+01 0.451684E+01 0.482162E+01 0.511197E+01
 0.538758E+01 0.537503E+01 0.523716E+01 0.518089E+01 0.508032E+01 0.499305E+01
 0.496001E+01 0.500437E+01 0.502240E+01 0.496983E+01 0.487492E+01 0.487492E+01
 0.487492E+01 0.487492E+01 0.487492E+01 0.487492E+01 0.487492E+01 0.487492E+01
 0.323517E+04 0.216449E+04 0.104980E+04 0.205942E+03 0.414954E+02 0.840477E+01
 0.533149E+01 0.499253E+01 0.453765E+01 0.451684E+01 0.482162E+01 0.511197E+01
 0.538758E+01 0.537503E+01 0.523716E+01 0.518089E+01 0.508032E+01 0.499305E+01
 0.496001E+01 0.500437E+01 0.502240E+01 0.496983E+01 0.487492E+01 0.487492E+01
 0.487492E+01 0.487492E+01 0.487492E+01 0.487492E+01 0.487492E+01 0.487492E+01
 0.594907E+04 0.372251E+04 0.167267E+04 0.244808E+03 0.363242E+02 0.536274E+01
 0.533149E+01 0.499253E+01 0.453765E+01 0.451684E+01 0.482162E+01 0.511197E+01
 0.538758E+01 0.537503E+01 0.523716E+01 0.518089E+01 0.508032E+01 0.499305E+01
 0.496001E+01 0.500437E+01 0.502240E+01 0.496983E+01 0.487492E+01 0.487492E+01
 0.487492E+01 0.487492E+01 0.487492E+01 0.487492E+01 0.487492E+01 0.487492E+01
 0.881475E+04 0.545519E+04 0.276143E+04 0.348768E+03 0.448425E+02 0.578211E+01
 0.542868E+01 0.477808E+01 0.421950E+01 0.417971E+01 0.447811E+01 0.479878E+01
 0.511100E+01 0.516306E+01 0.508346E+01 0.507336E+01 0.500191E+01 0.495371E+01
 0.498825E+01 0.508655E+01 0.517428E+01 0.517268E+01 0.511829E+01 0.511829E+01
 0.511829E+01 0.511829E+01 0.511829E+01 0.511829E+01 0.511829E+01 0.511829E+01
 0.124247E+05 0.765978E+04 0.372349E+04 0.459402E+03 0.569108E+02 0.716791E+01
 0.622957E+01 0.458368E+01 0.347676E+01 0.339604E+01 0.380310E+01 0.428009E+01
 0.470097E+01 0.483526E+01 0.482715E+01 0.487219E+01 0.484883E+01 0.487241E+01
 0.499738E+01 0.517453E+01 0.537842E+01 0.550221E+01 0.566438E+01 0.566438E+01
 0.566438E+01 0.566438E+01 0.566438E+01 0.566438E+01 0.566438E+01 0.566438E+01
 0.156388E+05 0.933959E+04 0.475222E+04 0.574115E+03 0.698582E+02 0.867192E+01
 0.731798E+01 0.463109E+01 0.286393E+01 0.260189E+01 0.312697E+01 0.379898E+01
 0.437051E+01 0.460695E+01 0.464791E+01 0.471841E+01 0.471939E+01 0.477469E+01
 0.497844E+01 0.523887E+01 0.562075E+01 0.590759E+01 0.633195E+01 0.633195E+01
 0.633195E+01 0.633195E+01 0.633195E+01 0.633195E+01 0.633195E+01 0.633195E+01
 0.189078E+05 0.110635E+05 0.573479E+04 0.655456E+03 0.753401E+02 0.890086E+01
 0.752542E+01 0.459538E+01 0.266570E+01 0.205525E+01 0.254675E+01 0.336538E+01
 0.403576E+01 0.433203E+01 0.443611E+01 0.452137E+01 0.449401E+01 0.453258E+01
 0.469858E+01 0.498480E+01 0.538032E+01 0.575240E+01 0.626185E+01 0.626185E+01
 0.626185E+01 0.626185E+01 0.626185E+01 0.626185E+01 0.626185E+01 0.626185E+01
 0.205826E+05 0.120200E+05 0.616924E+04 0.682502E+03 0.755177E+02 0.857991E+01
 0.767056E+01 0.505027E+01 0.300753E+01 0.228244E+01 0.244421E+01 0.300190E+01
 0.372155E+01 0.408840E+01 0.422209E+01 0.431065E+01 0.424695E+01 0.420668E+01
 0.430899E+01 0.458649E+01 0.492550E+01 0.525728E+01 0.568832E+01 0.568832E+01
 0.568832E+01 0.568832E+01 0.568832E+01 0.568832E+01 0.568832E+01 0.568832E+01
 0.209142E+05 0.124560E+05 0.657284E+04 0.742113E+03 0.830931E+02 0.955429E+01
 0.910238E+01 0.563533E+01 0.351243E+01 0.273060E+01 0.263747E+01 0.283160E+01
